"Team"	"TotalTackles"	"DribbledPast"	"TotalAttemptedTackles"	"R"	"Interceptions"	"Fouled"	"Fouls"	"Yellow"	"Red"	"CaughtOffside"	"Clearances"	"ShotsBlocked"	"CrossesBlocked"	"PassesBlocked"	"TotalSaves"	"SixYardBoxSaves"	"PenaltyAreaSaves"	"OutOfBoxSaves"	"TotalShots"	"OutOfBoxShots"	"SixYardBoxShots"	"PenaltyAreaShots"	"TotalGoals"	"SixYardBoxGoals"	"PenaltyAreaGoals"	"OutOfBoxGoals"	"Unsuccessful"	"Successful"	"TotalDribbles"	"UnsuccessfulTouches"	"Dispossessed"	"TotalAerial"	"AerialWon"	"AerialLost"	"TotalPasses"	"AccLB"	"InAccLB"	"AccSP"	"InAccSP"	"TotalKeyPasses"	"LongKeyPasses"	"ShortKeyPasses"	"CrossAss"	"CornerAss"	"ThroughballAss"	"FreekickAss"	"OtherAss"	"TotalAss"	"OpenPlayShots"	"CounterShots"	"SetPieceShots"	"PenaltyShots"	"CrossKP"	"CornerKP"	"ThroughballKP"	"FreekickKP"	"ThrowinKP"	"OtherKP"	"League"	"SA"	"Tackles.pg"	"Ints.pg"	"Fouls.pg"	"Offsides"	"GF"	"Discipline"	"Possesion"	"percPass"	"AerialsWon"	"percOppThird"	"percMiddleThird"	"attackMiddle"	"npxG"	"npxGA"	"ppda_coef"	"oppda_coef"	"deep"	"deep_allowed"	"xG_diff"	"xGA_diff"	"xGA"	"xG"	"FastSF"	"FastSA"	"FastGF"	"FastGA"	"FastxG"	"FastxGA"	"FastxGperShot"	"FastxGAperShot"	"NormalSF"	"NormalSA"	"NormalGF"	"NormalGA"	"NormalxG"	"NormalxGA"	"NormalxGperShot"	"NormalxGAperShot"	"StandardSF"	"StandardSA"	"StandardGF"	"StandardGA"	"StandardxG"	"StandardxGA"	"StandardxGperShot"	"StandardxGAperShot"	"SlowSF"	"SlowSA"	"SlowGF"	"SlowGA"	"SlowxG"	"SlowxGA"	"SlowxGperShot"	"SlowxGAperShot"	"GP"	"GA"	"percOutofBoxShots"	"percSixYardBoxShots"	"percPenaltyAreaShots"	"percOutofBoxGoals"	"percSixYardBoxGoals"	"percPenaltyAreaGoals"	"percAerial"	"TotalLB"	"accLB"	"percLB"	"TotalSP"	"accSP"	"percLongKeyPasses"	"percCrossAss"	"percCornerAss"	"percThroughballAss"	"percFreekickAss"	"percSetPieceAss"	"percDribbles"	"percSetPieceShots"	"percCounterShots"	"percLongKP"	"percTBKP"	"percCrossKP"	"percSetPieceKP"	"xGper"	"xGdiffper"	"xGAper"	"xGAdiffper"	"SuccessDA"	"CounterDA"	"npXGAperShot"	"xGshot"
"Manchester City"	14	11	25	1	9.4	7.7	10.1	1.8	0.1	1.8	12.9	1.6	0.9	6.2	2.1	0.2	1.3	0.6	19.4	6.3	2	11.1	2.4	0.5	1.5	0.4	6.3	12.8	19.1	12.1	9.2	28	14	14	675.9	32	18.3	568.7	57	15.1	1.2	13.9	0.5	0.1	0.3	0	1	1.8	14.1	0.7	4.3	0.3	3	1.1	0.9	0.1		11	"PL"	7.5	14	9.4	10.1	1.8	68	513	61.6	88.9	14	36	43	27	67.606062	26.3430232	8.54596756990587	24.8295273917149	390	93	5.07887900000001	-3.1346408	27.8653592	73.078879	19	15	3	2	4.11096004024148	2.43764079920948	0.216366317907446	0.162509386613965	348	126	50	18	48.5102103305981	18.7117356024683	0.139397156122408	0.148505838114827	121	56	12	9	15.0152624845505	5.91708477772772	0.124093078384715	0.105662228173709	53	14	3	2	6.2067152466625	1.96077978052199	0.117107834842689	0.140055698608714	28	31	0.324742268041237	0.103092783505155	0.572164948453608	0.166666666666667	0.208333333333333	0.625	0.5	50.3	0.636182902584493	0.0744192927947921	625.7	0.908902029726706	0.0794701986754967	0.277777777777778	0.0555555555555556	0.166666666666667	0	0.0555555555555556	0.670157068062827	0.233695652173913	0.049645390070922	0.0794701986754967	0.0604026845637584	0.201342281879195	0.0794701986754967	2.60995996428571	-0.181388535714286	0.9951914	0.111951457142857	23.4	0.0299145299145299	3.51240309333333	0.134534018777614
"Liverpool"	14.9	10.4	25.3	2	9.2	7.6	8.3	0.9	0	1.4	17.1	1.9	1.6	6.2	2.1	0.1	1	1.1	15.6	4.5	1.3	9.8	2.3	0.4	1.6	0.2	7.3	10.3	17.7	15.6	7.9	34	17.9	16.1	622.2	31.8	32.4	490.2	67.9	12.2	2	10.2	0.5	0.2	0.2	0.1	1	1.8	11.1	0.8	3.6	0.2	2.9	1	0.6	0.3		8.6	"PL"	9.4	14.9	9.2	8.3	1.4	66	261	59	83.9	17.9	33	44	26	57.221801	28.6893737	8.9132272520984	23.9690413253115	325	119	-4.97234899999999	7.6893737	28.6893737	61.027651	33	19	12	2	8.02323005720973	2.73925020638853	0.24312818355181	0.144171063494133	278	186	36	14	37.1049495004117	20.0774632650428	0.133471041368388	0.107943350887327	104	61	16	4	13.2069959128276	5.47713887412101	0.12699034531565	0.0897891618708362	40	8	2	1	5.57607386354357	0.584888471290469	0.139401846588589	0.0731110589113086	29	21	0.288461538461538	0.0833333333333333	0.628205128205128	0.0869565217391304	0.173913043478261	0.695652173913044	0.526470588235294	64.2	0.495327102803738	0.103182256509161	558.1	0.878337215552768	0.163934426229508	0.277777777777778	0.111111111111111	0.111111111111111	0.0555555555555556	0.166666666666667	0.581920903954802	0.244897959183673	0.0720720720720721	0.163934426229508	0.0495867768595041	0.239669421487603	0.10655737704918	2.10440175862069	0.171460310344827	0.989288748275862	-0.265150817241379	24.1	0.033195020746888	3.05206103191489	0.134897548629531
"Leicester"	19.6	11.7	31.3	3	11.4	11.7	10.6	1.1	0	1.8	19	2.6	2.2	8.7	2.8	0.2	1.8	0.8	14	5.1	1.2	7.7	2	0.4	1.3	0.3	8.9	10.7	19.6	15.6	8.6	33.8	16.9	16.9	516.3	26.2	27.4	399.5	63.2	10.5	1.9	8.7	0.2	0.1	0.3	0	0.9	1.4	9.2	0.9	3.7	0.2	2.4	0.9	0.6	0.6		7.2	"PL"	10.6	19.6	11.4	10.6	1.8	58	311	54.4	82.4	16.9	28	44	23	42.4290707	32.863018	9.58433596237613	13.9603774494298	232	168	-10.2276993	9.43	37.43	47.7723007	36	25	11	3	9.04977234452963	4.26476263906807	0.251382565125823	0.170590505562723	234	180	31	15	24.0218428922817	19.1909630233422	0.102657448257614	0.10661646124079	110	87	12	10	13.8047580569983	12.3326727692038	0.125497800518166	0.141754859416135	27	16	4	0	3.45208745915443	1.83213262818754	0.127855091079794	0.114508289261721	29	28	0.364285714285714	0.0857142857142857	0.55	0.15	0.2	0.65	0.5	53.6	0.488805970149254	0.10381561107883	462.7	0.863410417116922	0.180952380952381	0.142857142857143	0.0714285714285714	0.214285714285714	0	0.0714285714285714	0.545918367346939	0.286821705426357	0.0978260869565217	0.180952380952381	0.0588235294117647	0.235294117647059	0.142857142857143	1.6473207137931	0.352679286206897	1.29068965517241	-0.325172413793103	31	0.0290322580645161	3.10028471698113	0.117665765270936
"Chelsea"	17.6	9.9	27.4	4	12.5	10.3	10	1.8	0	1.8	15.8	2.4	1.5	7.2	1.7	0	1.1	0.6	16.6	5.8	1.2	9.6	1.8	0.3	1.2	0.2	7.1	13	20.1	16.1	11.3	37.2	18.7	18.5	602	28	26.6	482.2	65.2	12.4	2	10.5	0.4	0	0.1	0.1	0.7	1.2	11.9	0.4	4.1	0.1	3.2	1.1	0.5	0.4		8.5	"PL"	8.5	17.6	12.5	10	1.8	51	530	57.4	84.8	18.7	30	45	26	53.046902	29.615221	9.4007698880467	14.6763174638096	262	130	5.091577	-7.862447	31.137553	56.091577	18	14	4	3	2.14736009947956	1.6103032939136	0.11929778330442	0.115021663850972	299	131	31	22	37.6530244806781	17.1096907034516	0.125929847761465	0.130608325980547	124	85	13	12	13.368048209697	12.0785672562197	0.107806840400782	0.142100791249643	40	20	3	2	3.31871156767011	3.543319624383	0.0829677891917527	0.17716598121915	29	39	0.349397590361446	0.072289156626506	0.578313253012048	0.111111111111111	0.166666666666667	0.666666666666667	0.502688172043011	54.6	0.512820512820513	0.0906976744186047	547.4	0.880891487029594	0.161290322580645	0.333333333333333	0	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.646766169154229	0.25625	0.0336134453781513	0.161290322580645	0.0409836065573771	0.262295081967213	0.120967741935484	1.93419231034483	-0.175571620689655	1.07370872413793	0.271118862068966	30.1	0.0132890365448505	3.48414364705882	0.116517609056917
"Wolverhampton Wanderers"	17.9	11.4	29.3	5	11.9	9.3	10.9	1.6	0.1	1.4	17.8	3	1.4	6.7	2.7	0.2	1.7	0.8	12.8	4.4	1.2	7.1	1.4	0.4	0.7	0.2	8.2	14	22.1	14.6	8.9	38.8	20.3	18.4	430.8	34.6	30.9	304.2	61.1	9.3	1.3	8	0.2	0	0	0	0.7	0.9	8.4	0.9	3.4	0.1	2.7	0.8	0.2	0.4		6.2	"PL"	11.3	17.9	11.9	10.9	1.4	41	452	47.6	78.6	20.3	26	47	21	42.341065	29.641213	13.9506146524553	11.1117537067512	135	163	3.624564	-2.691738	31.308262	44.624564	27	17	1	2	3.58411629498005	2.99535267427564	0.132745047962224	0.176197216133861	228	195	26	23	29.9748615603894	19.0745570883155	0.131468691054339	0.097818241478541	92	90	12	7	11.6525150425732	7.41686732973903	0.126657772201883	0.0824096369971004	25	27	2	2	2.22001844644547	3.69843397196382	0.0888007378578186	0.13697903599866	29	34	0.34375	0.09375	0.5546875	0.142857142857143	0.285714285714286	0.5	0.52319587628866	65.5	0.52824427480916	0.152042711234912	365.3	0.832740213523132	0.139784946236559	0.222222222222222	0	0	0	0	0.633484162895928	0.288135593220339	0.107142857142857	0.139784946236559	0.021978021978022	0.296703296703297	0.129032258064516	1.53877806896552	-0.124984965517241	1.07959524137931	0.0928185517241378	29.8	0.0302013422818792	2.62311619469027	0.120217036637931
"Manchester United"	15.8	10.4	26.2	6	9.8	11.5	11	1.9	0	1.3	17.6	2.7	2.3	6.8	2.6	0.1	1.5	1	14.8	6.9	0.9	6.9	1.5	0.2	1	0.2	8.1	11.7	19.8	15.1	11.1	30.4	15.5	14.9	503	22.9	25.7	391.7	62.7	10.9	1.7	9.2	0.3	0	0.1	0	0.6	1	10.4	0.7	3.3	0.3	2.1	0.7	0.7	0.3		8	"PL"	10.5	15.8	9.8	11	1.3	44	560	53.3	82.4	15.5	30	43	23	41.451279	29.802448	10.5540600366176	11.6924598462593	196	151	5.062932	0.563618000000002	30.563618	49.062932	26	21	5	2	5.85742728412151	3.19733647909015	0.225285664773904	0.152254118051912	270	172	26	16	25.9009378985502	18.2832503374666	0.0959293996242599	0.106297967078294	107	96	13	12	18.2212167428806	9.51295433938503	0.170291745260567	0.0990932743685941	28	13	0	0	1.24909496214241	1.00751031097025	0.0446105343622289	0.0775007931515574	29	30	0.466216216216216	0.0608108108108108	0.466216216216216	0.133333333333333	0.133333333333333	0.666666666666667	0.509868421052632	48.6	0.47119341563786	0.0966202783300199	454.4	0.862015845070423	0.155963302752294	0.3	0	0.1	0	0	0.590909090909091	0.240875912408759	0.0673076923076923	0.155963302752294	0.0648148148148148	0.194444444444444	0.091743119266055	1.69182524137931	-0.174583862068965	1.05391786206897	-0.0194351034482759	25.6	0.02734375	2.83832838095238	0.114312516309413
"Tottenham"	17.8	11.7	29.4	7	9.9	11.1	10.2	2.2	0.1	1.8	22.1	4.1	1.8	7.9	3.7	0.2	2	1.4	12.1	4.7	0.8	6.6	1.6	0.3	1	0.2	8.2	12.5	20.7	15.4	12.3	34.8	17.2	17.6	497.4	21.6	32.2	381.9	61.7	9.4	1.1	8.4	0.2	0.1	0	0	0.8	1	8.9	0.7	2.3	0.1	1.9	0.6	0.4	0.2		7	"PL"	14.4	17.8	9.9	10.2	1.8	47	633	51.9	81.1	17.2	26	46	29	36.404712	40.055197	13.1126710797849	10.6966356285684	183	213	-7.40662500000001	4.622176	44.622176	39.593375	40	18	5	2	7.1372851729393	3.84243303909898	0.178432129323483	0.213468502172165	222	267	30	28	24.3310224628076	29.6028599338606	0.109599200282917	0.110872134583748	70	109	10	9	7.68415717128664	12.1660748142749	0.109773673875523	0.111615365268577	22	25	2	1	3.50075638666749	1.36995556484908	0.159125290303068	0.0547982225939631	29	40	0.388429752066116	0.0661157024793388	0.545454545454545	0.125	0.1875	0.625	0.494252873563218	53.8	0.401486988847584	0.108162444712505	443.6	0.860910730387737	0.117021276595745	0.2	0.1	0	0	0.1	0.603864734299517	0.205357142857143	0.0786516853932584	0.117021276595745	0.043010752688172	0.204301075268817	0.0851063829787234	1.36528879310345	0.255400862068966	1.53869572413793	-0.159385379310345	27.7	0.0252707581227437	2.78161090277778	0.112833784554004
"Sheffield United"	16.8	10.3	27.1	8	11.5	7.4	10.9	1.8	0	2.2	23.9	2.9	1.6	6	2.5	0.2	1.4	0.9	10.2	2.7	1	6.5	1.1	0.2	0.8	0	5.1	9.6	14.7	14.4	8.2	48.8	25	23.8	395.5	29.9	44.9	263.5	57.2	7.6	1.8	5.8	0.2	0	0.1	0	0.4	0.6	6.5	0.7	2.9	0	2.6	0.8	0.3	0.3		4.6	"PL"	11.4	16.8	11.5	10.9	2.2	30	511	44.9	74.2	25	31	43	19	35.886032	35.355975	13.9075806595551	12.8657620189838	155	175	6.64720200000001	11.878314	36.878314	36.647202	25	20	3	3	4.73700856044888	3.61917604506016	0.189480342417955	0.180958802253008	167	190	18	18	21.3297968572006	22.8349000439048	0.127723334474255	0.120183684441604	83	96	7	4	12.2112414054573	11.3297843895853	0.147123390427196	0.118018587391513	14	12	2	0	2.25982171110809	0.551216311752796	0.161415836507721	0.0459346926460663	28	25	0.264705882352941	0.0980392156862745	0.637254901960784	0	0.181818181818182	0.727272727272727	0.512295081967213	74.8	0.399732620320856	0.189127686472819	320.7	0.821640162145307	0.236842105263158	0.333333333333333	0	0.166666666666667	0	0	0.653061224489796	0.308510638297872	0.107692307692308	0.236842105263158	0.04	0.346666666666667	0.144736842105263	1.30882864285714	-0.237400071428572	1.31708264285714	-0.4242255	28.3	0.0247349823321555	3.10140131578947	0.128316533613445
"Crystal Palace"	17.7	10.2	28	9	11.7	12.5	10.9	1.7	0	1.5	22.3	3.8	2.3	6.4	3.4	0.5	1.8	1.2	9.9	3.3	0.9	5.7	0.9	0.1	0.6	0.1	7.3	11.6	19	15.9	12.4	43.1	21.6	21.6	381.3	23.1	34.9	266.3	57	7.1	1.2	5.9	0.1	0	0	0	0.5	0.6	6.3	0.4	3.1	0.1	1.7	0.8	0.2	0.4		5.1	"PL"	13.6	17.7	11.7	10.9	1.5	26	481	46.4	75.9	21.6	27	43	23	25.475422	43.076432	14.1651795788568	8.16516158685053	183	225	1.758932	11.837602	43.837602	27.758932	23	26	3	1	2.80678039509803	3.37856363970786	0.122033930221653	0.129944755373379	165	233	13	21	15.622890945524	25.3471611905843	0.0946841875486302	0.108786099530405	91	118	8	6	9.11017063632607	12.9020361751318	0.100111765234352	0.109339289619761	10	20	2	4	2.24339540023357	4.9871524181217	0.224339540023357	0.249357620906085	29	32	0.333333333333333	0.0909090909090909	0.575757575757576	0.111111111111111	0.111111111111111	0.666666666666667	0.501160092807425	58	0.398275862068966	0.15211119853134	323.3	0.823693164243737	0.169014084507042	0.166666666666667	0	0	0	0	0.610526315789474	0.329787234042553	0.0634920634920635	0.169014084507042	0.0285714285714286	0.242857142857143	0.169014084507042	0.957204551724138	-0.060652827586207	1.51164144827586	-0.408193172413793	29.4	0.0136054421768707	3.16738470588235	0.0966873284569836
"Arsenal"	16.2	10	26.2	10	9.2	11.6	11	2.3	0.1	1.9	18.5	3.8	1.6	6.6	3.7	0.3	1.9	1.6	11.1	3.5	0.9	6.8	1.4	0.3	1	0.1	8.3	11.8	20	15.1	9.8	29.7	13.4	16.3	507.1	27.1	26.6	398	55.4	8.6	1	7.6	0.3	0.1	0.1	0	0.6	1	7.6	0.6	2.9	0.1	2.3	1.1	0.4	0.2		5.7	"PL"	14.8	16.2	9.2	11	1.9	40	633	54.2	83.8	13.4	26	42	24	36.888002	37.706451	11.8211643135029	12.4030150621495	212	181	-1.589708	6.42878100000001	42.428781	38.410292	17	19	4	1	2.86559866368771	1.91641430556774	0.168564627275747	0.100863910819355	195	246	22	18	23.8551096171141	21.1702922075056	0.12233389547238	0.0860580984044941	82	121	11	16	8.74084676243365	17.2104423246346	0.106595692224801	0.142235060534171	18	30	3	1	3.51595455408096	2.8299845578149	0.195330808560053	0.0943328185938299	28	36	0.315315315315315	0.0810810810810811	0.612612612612613	0.0714285714285714	0.214285714285714	0.714285714285714	0.451178451178451	53.7	0.504655493482309	0.105896272924472	453.4	0.877812086457874	0.116279069767442	0.3	0.1	0.1	0	0.1	0.59	0.276190476190476	0.0789473684210526	0.116279069767442	0.0476190476190476	0.273809523809524	0.151162790697674	1.37179614285714	0.0567752857142858	1.51531360714286	-0.229599321428572	25.4	0.0236220472440945	2.54773317567568	0.123585238095238
